VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,trip_duration,normalized_distance,weather,zone
1,2015-01-17 12:42:34,2015-01-17 12:59:51,1,1.6,-74.00543212890625,40.736831665039055,1,N,-73.9893798828125,40.73896026611328,1,12.0,0.0,0.5,5.0,0.0,0.3,17.8,1037.0,-0.0012049697364313,Clear,Otra
1,2015-01-26 05:44:38,2015-01-26 05:55:48,1,3.8,0.0,0.0,1,N,0.0,0.0,1,12.5,0.5,0.5,2.75,0.0,0.3,16.55,670.0,-0.0009815769493726,Clear,Otra
1,2015-01-23 15:50:42,2015-01-23 16:03:39,1,1.7,-73.98406219482422,40.74445724487305,1,N,-73.96696472167967,40.76652145385742,1,10.0,0.0,0.5,3.24,0.0,0.3,14.04,777.0,-0.0011948155188377,Clear,Midtown Manhattan
2,2015-01-16 09:25:53,2015-01-16 09:43:05,1,2.44,-73.95407104492188,40.772926330566406,1,N,-73.982421875,40.76320266723633,1,13.0,0.0,0.5,1.0,0.0,0.3,14.8,1032.0,-0.0011196743086452,Clear,Otra
2,2015-01-16 12:03:15,2015-01-16 12:15:48,5,0.99,-73.9744415283203,40.75057601928711,1,N,-73.9744415283203,40.75057601928711,1,9.0,0.0,0.5,0.0,0.0,0.3,9.8,753.0,-0.0012669104637521,Clear,Otra
1,2015-01-12 16:26:49,2015-01-12 16:42:02,1,2.0,-73.95305633544923,40.782623291015625,1,N,-73.97142028808595,40.75746536254882,1,11.0,1.0,0.5,1.0,0.0,0.3,13.8,913.0,-0.001164352866057,Clear,Otra
1,2015-01-05 19:18:04,2015-01-05 19:21:17,1,0.8,-74.00527954101561,40.72883605957031,1,N,-74.00798797607422,40.71697998046875,2,5.0,1.0,0.5,0.0,0.0,0.3,6.8,193.0,-0.0012862034771799,Clear,Lower Manhattan
2,2015-01-02 08:23:47,2015-01-02 08:27:10,1,0.67,-73.98554992675781,40.773231506347656,1,N,-73.98750305175781,40.77043914794922,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,203.0,-0.0012994039600515,Clear,Otra
1,2015-01-14 18:56:41,2015-01-14 19:08:50,1,4.0,-74.00995635986328,40.72067260742188,1,N,-73.98954772949219,40.7686653137207,1,14.0,1.0,0.5,3.15,0.0,0.3,18.95,729.0,-0.0009612685141855,Clear,Lower Manhattan
1,2015-01-16 11:34:31,2015-01-16 11:43:49,1,1.4,-73.98804473876953,40.73811721801758,1,N,-74.0052261352539,40.72905731201172,1,8.0,0.0,0.5,1.75,0.0,0.3,10.55,558.0,-0.0012252781716184,Clear,Otra
1,2015-01-16 22:17:06,2015-01-16 22:20:05,2,0.4,-73.97586822509764,40.75201416015625,1,N,-73.97715759277344,40.74694061279297,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,179.0,-0.0013268203475542,Clear,Otra
2,2015-01-16 21:35:23,2015-01-16 21:49:22,1,2.39,-73.97111511230467,40.75539016723633,1,N,-73.98920440673827,40.726558685302734,1,11.0,0.5,0.5,2.3,0.0,0.3,14.6,839.0,-0.001124751417442,Clear,Otra
1,2015-01-17 17:54:16,2015-01-17 18:22:07,1,5.0,-73.99513244628906,40.74497222900391,1,N,-73.99706268310547,40.684429168701165,1,20.0,0.0,0.5,4.15,0.0,0.3,24.95,1671.0,-0.0008597263382497,Clear,Midtown Manhattan
1,2015-01-25 20:38:45,2015-01-25 20:45:58,1,1.0,-73.99349975585938,40.73332977294922,1,N,-74.00852966308595,40.73283767700195,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,433.0,-0.0012658950419927,Clear,Otra
1,2015-01-15 10:50:46,2015-01-15 10:55:55,1,1.0,-73.95592498779298,40.779632568359375,1,N,-73.9721450805664,40.78655624389648,1,6.0,0.0,0.5,1.5,0.0,0.3,8.3,309.0,-0.0012658950419927,Clear,Otra
2,2015-01-11 12:07:01,2015-01-11 12:14:55,2,1.25,-73.99549865722656,40.74308013916016,1,N,-73.97615051269531,40.73508834838867,1,7.0,0.0,0.5,1.75,0.0,0.3,9.55,474.0,-0.0012405094980088,Clear,Midtown Manhattan
